bridges_v1_2_0.75_1.pddl_35 64 RG amir 2 9 1 1.012 4 pode1 2 9 1 1.021 4 jdd 2 9 1 1.018 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_38 64 RG amir 2 9 1 1.011 4 pode1 2 9 1 0.555 4 jdd 2 9 1 1.018 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_3 256 RG amir 3 10 2 0.098 4 pode1 3 10 2 0.168 4 jdd 3 10 2 0.074 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_12 256 RG amir 2 9 1 0.024 4 pode1 2 9 1 0.06 4 jdd 2 9 1 0.063 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_13 256 RG amir 3 12 2 0.031 2 pode1 3 12 2 0.078 2 jdd 3 12 2 0.052 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_30 256 RG amir 3 12 2 0.022 2 pode1 3 12 2 0.04 2 jdd 3 12 2 0.044 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_38 256 RG amir 2 9 1 0.041 4 pode1 2 9 1 0.035 4 jdd 2 9 1 0.034 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_40 256 RG amir 3 12 2 0.025 2 pode1 3 12 2 0.055 2 jdd 3 12 2 0.037 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_55 256 RG amir 2 9 1 0.019 4 pode1 2 9 1 1.024 4 jdd 2 9 1 0.518 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_64 256 RG amir 2 9 1 1.011 4 pode1 2 9 1 0.526 4 jdd 2 9 1 1.021 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_70 256 RG amir 3 10 2 1.016 4 pode1 3 10 2 1.034 4 jdd 3 10 2 0.524 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_95 256 RG amir 3 12 2 1.015 2 pode1 3 12 2 0.024 2 jdd 3 12 2 0.017 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.0_1.pddl_0 1 RG amir 1 8 0 0.04 1 pode1 1 6 0 0.045 1 jdd 1 6 0 0.529 1 CL amir 1 8 0 0.525 1 pode1 1 6 0 0.52 1 jdd 1 6 0 0.521 1 
bridges_v2_2_0.0_1.pddl_1 1 RG amir 1 8 0 0.517 1 pode1 1 6 0 0.516 1 jdd 1 6 0 0.516 1 CL amir 1 8 0 0.518 1 pode1 1 6 0 0.516 1 jdd 1 6 0 0.517 1 
bridges_v2_2_0.0_1.pddl_2 1 RG amir 1 8 0 0.517 1 pode1 1 6 0 0.516 1 jdd 1 6 0 0.516 1 CL amir 1 8 0 0.019 1 pode1 1 6 0 0.016 1 jdd 1 6 0 0.015 1 
bridges_v2_2_0.0_1.pddl_3 1 RG amir 1 8 0 0.013 1 pode1 1 6 0 0.013 1 jdd 1 6 0 0.013 1 CL amir 1 8 0 0.014 1 pode1 1 6 0 0.012 1 jdd 1 6 0 0.514 1 
bridges_v2_2_0.0_1.pddl_4 1 RG amir 1 8 0 0.011 1 pode1 1 6 0 0.01 1 jdd 1 6 0 0.0090 1 CL amir 1 8 0 0.012 1 pode1 1 6 0 0.511 1 jdd 1 6 0 0.0090 1 
bridges_v2_2_0.0_1.pddl_5 1 RG amir 1 8 0 0.01 1 pode1 1 6 0 0.514 1 jdd 1 6 0 0.0090 1 CL amir 1 8 0 0.011 1 pode1 1 6 0 0.01 1 jdd 1 6 0 0.01 1 
bridges_v2_2_0.0_1.pddl_6 1 RG amir 1 8 0 0.023 1 pode1 1 6 0 0.019 1 jdd 1 6 0 0.07 1 CL amir 1 8 0 0.511 1 pode1 1 6 0 0.511 1 jdd 1 6 0 0.0070 1 
bridges_v2_2_0.0_1.pddl_7 1 RG amir 1 8 0 0.011 1 pode1 1 6 0 0.0080 1 jdd 1 6 0 0.01 1 CL amir 1 8 0 0.01 1 pode1 1 6 0 0.0090 1 jdd 1 6 0 0.0080 1 
bridges_v2_2_0.0_1.pddl_8 1 RG amir 1 8 0 0.0080 1 pode1 1 6 0 0.51 1 jdd 1 6 0 0.508 1 CL amir 1 8 0 0.509 1 pode1 1 6 0 0.509 1 jdd 1 6 0 0.509 1 
bridges_v2_2_0.0_1.pddl_9 1 RG amir 1 8 0 0.0080 1 pode1 1 6 0 0.01 1 jdd 1 6 0 0.0060 1 CL amir 1 8 0 0.508 1 pode1 1 6 0 0.019 1 jdd 1 6 0 0.509 1 
bridges_v2_2_0.25_1.pddl_0 32 RG amir 3 14 1 1.086 2 pode1 1 9 0 0.051 32 jdd 1 9 0 0.532 32 CL amir L L L L L pode1 1 9 0 0.027 32 jdd 1 9 0 0.026 32 
bridges_v2_2_0.25_1.pddl_1 32 RG amir 3 12 1 0.033 2 pode1 1 9 0 0.525 32 jdd 1 9 0 0.038 32 CL amir L L L L L pode1 1 9 0 0.526 32 jdd 1 9 0 0.524 32 
bridges_v2_2_0.25_1.pddl_2 32 RG amir 3 12 2 1.044 8 pode1 1 9 0 0.522 32 jdd 1 9 0 0.518 32 CL amir L L L L L pode1 1 9 0 0.521 32 jdd 1 9 0 0.516 32 
bridges_v2_2_0.25_1.pddl_3 32 RG amir 2 9 1 0.518 2 pode1 1 9 0 0.018 32 jdd 1 9 0 0.013 32 CL amir L L L L L pode1 1 9 0 0.02 32 jdd 1 9 0 0.516 32 
bridges_v2_2_0.25_1.pddl_4 32 RG amir 3 12 2 0.52 8 pode1 1 9 0 0.517 32 jdd 1 9 0 0.045 32 CL amir L L L L L pode1 1 9 0 0.015 32 jdd 1 9 0 0.013 32 
bridges_v2_2_0.25_1.pddl_5 32 RG amir 2 9 1 0.516 2 pode1 1 9 0 0.515 32 jdd 1 9 0 0.514 32 CL amir L L L L L pode1 1 9 0 0.016 32 jdd 1 9 0 0.025 32 
bridges_v2_2_0.25_1.pddl_6 32 RG amir 3 12 2 1.018 8 pode1 1 9 0 0.014 32 jdd 1 9 0 0.0090 32 CL amir L L L L L pode1 1 9 0 0.011 32 jdd 1 9 0 0.011 32 
bridges_v2_2_0.25_1.pddl_7 32 RG amir 3 12 2 1.019 8 pode1 1 9 0 0.512 32 jdd 1 9 0 0.51 32 CL amir L L L L L pode1 1 9 0 0.515 32 jdd 1 9 0 0.512 32 
bridges_v2_2_0.25_1.pddl_8 32 RG amir 3 12 2 0.515 8 pode1 1 9 0 0.0090 32 jdd 1 9 0 0.0090 32 CL amir L L L L L pode1 1 9 0 0.011 32 jdd 1 9 0 0.511 32 
bridges_v2_2_0.25_1.pddl_9 32 RG amir 3 12 2 0.515 8 pode1 1 9 0 0.0090 32 jdd 1 9 0 0.0080 32 CL amir L L L L L pode1 1 9 0 0.01 32 jdd 1 9 0 0.0090 32 
bridges_v2_2_0.5_1.pddl_0 16 RG amir 2 9 1 0.569 4 pode1 2 9 1 0.138 4 jdd 2 9 1 0.557 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_1 16 RG amir 2 9 1 1.03 4 pode1 2 9 1 1.051 4 jdd 2 9 1 1.044 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_3 16 RG amir 2 9 1 0.523 4 pode1 2 9 1 1.039 4 jdd 2 9 1 1.032 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_5 16 RG amir 2 9 1 0.021 4 pode1 2 9 1 1.034 4 jdd 2 9 1 0.025 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_10 16 RG amir 2 9 1 0.518 4 pode1 2 9 1 1.025 4 jdd 2 9 1 0.522 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_11 16 RG amir 2 9 1 1.017 4 pode1 2 9 1 1.024 4 jdd 2 9 1 0.524 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_12 16 RG amir 2 9 1 0.01 4 pode1 2 9 1 1.022 4 jdd 2 9 1 0.023 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_13 16 RG amir 2 9 1 0.0090 4 pode1 2 9 1 0.519 4 jdd 2 9 1 0.519 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_15 16 RG amir 2 9 1 0.512 4 pode1 2 9 1 1.019 4 jdd 2 9 1 1.027 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.5_1.pddl_18 16 RG amir 2 9 1 0.509 4 pode1 2 9 1 0.517 4 jdd 2 9 1 0.515 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_5 512 RG amir 3 10 2 1.567 4 pode1 3 10 2 1.133 4 jdd 3 10 2 0.068 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_11 512 RG amir 4 12 2 1.539 4 pode1 4 12 2 1.564 4 jdd 4 12 2 1.053 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_20 512 RG amir 4 12 2 0.542 4 pode1 4 12 2 0.555 4 jdd 4 12 2 0.535 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_21 512 RG amir 2 9 1 0.516 32 pode1 2 9 1 1.027 32 jdd 2 9 1 1.026 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_25 512 RG amir 2 9 1 1.016 32 pode1 2 9 1 0.023 32 jdd 2 9 1 1.023 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_30 512 RG amir 2 9 1 0.515 32 pode1 2 9 1 0.074 32 jdd 2 9 1 1.022 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_36 512 RG amir 2 9 1 0.512 32 pode1 2 9 1 1.024 32 jdd 2 9 1 0.518 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_38 512 RG amir 2 9 1 0.512 32 pode1 2 9 1 0.522 32 jdd 2 9 1 0.518 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_39 512 RG amir 2 9 1 0.511 32 pode1 2 9 1 0.523 32 jdd 2 9 1 0.026 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_0.75_1.pddl_49 512 RG amir 2 9 1 1.013 32 pode1 2 9 1 1.023 32 jdd 2 9 1 0.014 32 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_38 8388608 RG amir 3 12 2 0.032 8192 pode1 3 12 2 0.062 8192 jdd 3 12 2 0.077 8192 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_40 8388608 RG amir 2 9 1 0.521 16384 pode1 2 9 1 0.542 16384 jdd 2 9 1 0.047 16384 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_101 8388608 RG amir 2 9 1 0.513 16384 pode1 2 9 1 0.528 16384 jdd 2 9 1 0.02 16384 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_161 8388608 RG amir 3 12 1 0.515 2048 pode1 3 12 1 0.026 2048 jdd 3 12 1 1.03 2048 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_212 8388608 RG amir 3 12 2 1.517 4096 pode1 3 12 2 1.043 4096 jdd 3 12 2 0.024 4096 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_240 8388608 RG amir 4 14 1 1.017 2048 pode1 4 14 1 0.031 2048 jdd 4 14 1 1.023 2048 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_301 8388608 RG amir 3 12 2 0.514 4096 pode1 3 12 2 0.583 4096 jdd 3 12 2 0.521 4096 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_329 8388608 RG amir 2 9 1 0.0070 16384 pode1 2 9 1 0.02 16384 jdd 2 9 1 0.016 16384 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_392 8388608 RG amir 3 10 2 1.014 16384 pode1 3 10 2 0.533 16384 jdd 3 10 2 0.023 16384 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v2_2_1.0_1.pddl_454 8388608 RG amir 4 13 2 1.519 2048 pode1 4 13 2 1.569 2048 jdd 4 13 2 2.029 2048 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.0_1.pddl_0 4 RG amir 1 4 0 0.026 2 pode1 1 4 0 0.023 2 jdd 1 4 0 0.022 2 CL amir 1 4 0 0.021 2 pode1 1 4 0 0.017 2 jdd 1 4 0 0.014 2 
bridges_v3_2_0.0_1.pddl_1 4 RG amir 1 4 0 0.011 2 pode1 1 4 0 0.014 2 jdd 1 4 0 0.012 2 CL amir 1 4 0 0.01 2 pode1 1 4 0 0.012 2 jdd 1 4 0 0.011 2 
bridges_v3_2_0.0_1.pddl_3 4 RG amir 1 4 0 0.512 2 pode1 1 4 0 0.513 2 jdd 1 4 0 0.011 2 CL amir 1 4 0 0.01 2 pode1 1 4 0 0.01 2 jdd 1 4 0 0.513 2 
bridges_v3_2_0.0_1.pddl_5 4 RG amir 1 4 0 0.01 2 pode1 1 4 0 0.011 2 jdd 1 4 0 0.01 2 CL amir 1 4 0 0.0080 2 pode1 1 4 0 0.011 2 jdd 1 4 0 0.013 2 
bridges_v3_2_0.0_1.pddl_9 4 RG amir 1 4 0 0.51 2 pode1 1 4 0 0.511 2 jdd 1 4 0 0.0090 2 CL amir 1 4 0 0.0080 2 pode1 1 4 0 0.01 2 jdd 1 4 0 0.512 2 
bridges_v3_2_0.0_1.pddl_10 4 RG amir 1 4 0 0.0080 2 pode1 1 4 0 0.0080 2 jdd 1 4 0 0.0080 2 CL amir 1 4 0 0.0070 2 pode1 1 4 0 0.0080 2 jdd 1 4 0 0.514 2 
bridges_v3_2_0.0_1.pddl_11 4 RG amir 1 4 0 0.0070 2 pode1 1 4 0 0.01 2 jdd 1 4 0 0.0070 2 CL amir 1 4 0 0.017 2 pode1 1 4 0 0.0080 2 jdd 1 4 0 0.0070 2 
bridges_v3_2_0.0_1.pddl_12 4 RG amir 1 4 0 0.509 2 pode1 1 4 0 0.0080 2 jdd 1 4 0 0.509 2 CL amir 1 4 0 0.023 2 pode1 1 4 0 0.512 2 jdd 1 4 0 0.011 2 
bridges_v3_2_0.0_1.pddl_13 4 RG amir 1 4 0 0.0060 2 pode1 1 4 0 0.509 2 jdd 1 4 0 0.51 2 CL amir 1 4 0 0.0060 2 pode1 1 4 0 0.0080 2 jdd 1 4 0 0.0070 2 
bridges_v3_2_0.0_1.pddl_15 4 RG amir 1 4 0 0.0060 2 pode1 1 4 0 0.0070 2 jdd 1 4 0 0.0060 2 CL amir 1 4 0 0.0060 2 pode1 1 4 0 0.0060 2 jdd 1 4 0 0.0060 2 
bridges_v3_2_0.25_1.pddl_0 256 RG amir 4 12 1 0.073 4 pode1 2 8 0 0.055 64 jdd 2 8 0 0.034 64 CL amir L L L L L pode1 2 8 0 0.031 64 jdd 2 8 0 0.029 64 
bridges_v3_2_0.25_1.pddl_1 256 RG amir 1 4 0 0.0080 64 pode1 1 4 0 0.015 64 jdd 1 4 0 0.015 64 CL amir 1 4 0 0.0080 64 pode1 1 4 0 0.015 64 jdd 1 4 0 0.014 64 
bridges_v3_2_0.25_1.pddl_2 256 RG amir 1 4 0 0.0070 128 pode1 1 4 0 0.014 128 jdd 1 4 0 0.014 128 CL amir 1 4 0 0.0070 128 pode1 1 4 0 0.014 128 jdd 1 4 0 0.014 128 
bridges_v3_2_0.25_1.pddl_3 256 RG amir 1 4 0 0.0080 128 pode1 1 4 0 0.013 128 jdd 1 4 0 0.013 128 CL amir 1 4 0 0.014 128 pode1 1 4 0 0.014 128 jdd 1 4 0 0.014 128 
bridges_v3_2_0.25_1.pddl_4 256 RG amir 1 4 0 0.0070 64 pode1 1 4 0 0.012 64 jdd 1 4 0 0.016 64 CL amir 1 4 0 0.0070 64 pode1 1 4 0 0.014 64 jdd 1 4 0 0.016 64 
bridges_v3_2_0.25_1.pddl_5 256 RG amir 1 4 0 0.0080 128 pode1 1 4 0 0.014 128 jdd 1 4 0 0.015 128 CL amir 1 4 0 0.013 128 pode1 1 4 0 0.013 128 jdd 1 4 0 0.012 128 
bridges_v3_2_0.25_1.pddl_6 256 RG amir 1 4 0 0.0070 128 pode1 1 4 0 0.01 128 jdd 1 4 0 0.012 128 CL amir 1 4 0 0.0060 128 pode1 1 4 0 0.074 128 jdd 1 4 0 0.014 128 
bridges_v3_2_0.25_1.pddl_7 256 RG amir 3 9 1 0.044 32 pode1 2 8 0 0.017 64 jdd 2 8 0 0.042 64 CL amir L L L L L pode1 2 8 0 0.018 64 jdd 2 8 0 0.032 64 
bridges_v3_2_0.25_1.pddl_8 256 RG amir 1 4 0 0.0060 128 pode1 1 4 0 0.018 128 jdd 1 4 0 0.0080 128 CL amir 1 4 0 0.024 128 pode1 1 4 0 0.0090 128 jdd 1 4 0 0.0080 128 
bridges_v3_2_0.25_1.pddl_9 256 RG amir 1 4 0 0.0060 64 pode1 1 4 0 0.0090 64 jdd 1 4 0 0.0080 64 CL amir 1 4 0 0.0050 64 pode1 1 4 0 0.0080 64 jdd 1 4 0 0.0070 64 
bridges_v3_2_0.5_1.pddl_0 32 RG amir 2 5 1 0.057 4 pode1 2 5 1 0.104 4 jdd 2 5 1 0.566 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_1 32 RG amir 2 5 1 0.021 4 pode1 2 5 1 0.544 4 jdd 2 5 1 0.537 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_3 32 RG amir 3 7 1 0.522 4 pode1 3 7 1 1.037 4 jdd 3 7 1 0.036 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_5 32 RG amir 3 7 1 0.018 4 pode1 3 7 1 0.028 4 jdd 3 7 1 1.03 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_10 32 RG amir 2 5 1 0.513 4 pode1 2 5 1 1.023 4 jdd 2 5 1 1.02 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_11 32 RG amir 3 7 1 0.012 4 pode1 3 7 1 1.027 4 jdd 3 7 1 1.022 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v3_2_0.5_1.pddl_12 32 RG amir 3 7 1 1.014 4 pode1 3 7 1 1.022 4 jdd 3 7 1 1.525 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
